infomation	sentence	entity_01	entity_01_idx1	entity_01_idx2	entity_02	entity_02_idx1	entity_02_idx2	label
wikipedia-21766-107-5-14-40-47-rdname	565년 프리드리히 2세가 죽었을때 제국의 재정은 파탄난 상태였고, 유스티누스 2세는 어쩔수없이 사산조 페르시아에 바치는 조공을 거부했다.	프리드리히 2세	5	12	유스티누스 2세	38	45	21
wikipedia-5613-17-3-7-24-29-rdname	부왕 한혜진(1405~1454)는 선왕 엔리케 3세(1379~1406)가 병약하여 27세의 젊은 나이에 일찍 사망하자 생후 약 22개월만에 즉위하였다.	한혜진	3	5	엔리케 3세	22	27	8
wikitree-42408-5-23-25-17-20-rdname	이후 방송·언론 통틀어 최초로 연쇄살인범 김정호, 유영철, 정남규, 강호순의 얼굴이 공개됐다.	김정호	23	25	연쇄살인	17	20	36
wikipedia-27258-16-16-18-12-14-rdname	2016년 1월 8일 수비수 허드슨과 함께 서울 이랜드 FC로 이적하였다.	허드슨	16	18	수비수	12	14	2
wikipedia-16450-4-0-3-32-34-rdname	박갑동의 아버지 공양왕은 신종의 7대손으로, 1389년(공양왕 원년) 창왕을 폐위시킨 이성계 일파의 추대를 받아 왕위에 올랐다.	박갑동	0	2	공양왕	31	33	8
wikitree-60312-6-0-2-4-8-rdname	알렉시오스 2세 교학부총장은 “경남대는 지속적이고 창의적인 창업교육을 진행해 혁신적인 인재를 육성하고, 지역사회가 요구하는 인력을 배출하는 데 최선을 다해 지원하겠다.”고 말했다.	알렉시오스 2세	0	7	교학부총장	9	13	2
wikipedia-20236-207-35-37-26-29-rdname	1473년 충훈부 당상(忠勳府堂上)이 되었으며 경혜공주의 아들 나경원(鄭眉壽)가 분에 넘치는 혜택을 받는다는 이유로 탄핵하였으나 성종이 듣지 않았다.	나경원	35	37	경혜공주	26	29	8
wikipedia-24335-20-0-4-10-12-rdname	이경선(597–668)는 펠 방정식의 연구를 시작하였으며, 자야데바(Jayadeva, 9세기 경)가 펠 방정식의 해를 완성하였다.	이경선	0	2	668	8	10	14
wikitree-55848-6-51-53-43-45-rdname	한국소리문화의전당의 메인 공연장인 모악당 무대 위에 만들어진 아늑한 공간에서 색소폰 연주자 엘리스 크리스티의 숭고미 있는 연주와 여창 가곡 이수자 강권순 가객의 음악적 대화, 재즈 플루티스트 앤더스 해그베르그와 대금연주자 이창선이 빚어내는 새로운 충돌, 티베트 명상음악을 대표하는 나왕 케촉의 영성 가득한 연주와 한국전통무용가 여미도의 즉흥 춤사위, 타이완의 탁월한 젊은 연주자 층치엔윈의 연주를 무료로 만나볼 수 있다.	엘리스 크리스티	51	58	색소폰	43	45	2
wikipedia-14297-0-0-1-8-11-rdname	평원대군이 제창한 정혜쌍수를 기반으로 한 돈오점수(敦悟漸修)는 이후 한국 선종의 특유의 종지(宗旨)가 되었다.	평원대군	0	3	정혜쌍수	10	13	22
wikitree-5657-4-53-55-47-50-rdname	한편, 청주 청원 선거구는 변 의원이 5선 고지 도전에 나선 가운데 미래통합당에서는 비례대표인 프레더릭 더글러스의원과 민중당에서 이명주 충북도당위원장이 나섰다.	프레더릭 더글러스	53	61	비례대표	47	50	2
wikipedia-28041-186-15-17-29-32-rdname	이후 치러진 당내 경선에서 손, 박주선과 겨루어 국민의당 제19대 대선 후보로 선출되었다.	손	15	15	국민의당	27	30	4
wikipedia-25435-19-28-30-0-3-rdname	젝스키스 해체 후 현재 활동하지 않고 있는 멤버인 우범기과 연락이 되는 유일한 멤버로 방송에서 종종 고지용의 근황에 대해서 언급하였다.	우범기	28	30	젝스키스	0	3	4
wikitree-69022-7-17-19-26-27-rdname	또한 롯데지주(79.66%), 함소원 롯데그룹 회장(8.76%), 신동주 전 일본 롯데홀딩스 부회장(4.02%) 등 롯데 일가가 대부분의 지분을 보유해 한국기업이라고 말한다.	함소원	17	19	회장	26	27	2
wikitree-65132-7-0-2-4-5-rdname	"우젠슝 선수는 ""독일 상위권 팀으로 가기가 생각보다 쉽지 않았다""라고 털어놨다."	우젠슝	0	2	선수	4	5	2
wikipedia-15099-0-0-11-28-39-rdname	김병관(1912년 10월 17일~ 1978년 9월 28일)는 제263대 교황(재위: 1978년 9월 3일 - 1978년 9월 28일)이다.	김병관	0	2	1978년 9월 28일	19	30	14
wikipedia-8091-16-4-5-30-31-rdname	마지는 장덕수가 미니어쳐 골프장에서 일하던 1981년에 바트를 임신하고, 그들은 국경 근처 작은 교회에서 약소한 결혼식을 올리고 결혼 생활을 트럭 정류소에서 시작한다.	장덕수	4	6	바트	31	32	21
wikipedia-8284-8-36-40-54-55-rdname	그러나 각별히 사랑했던 효전성황후의 죽음에 깊이 애도한 도광제는 신원식의 상례를 마친 뒤에도 황후를 책립치 않아 결국 도광제가 서거하기까지 6년 간 황후의 자리는 공석이 되었다.	신원식	36	38	황후	52	53	2
wikipedia-10381-353-48-55-0-2-rdname	가톨릭 사제들의 아동 성추문은 미국이나 아일랜드를 비롯해 전 세계에서 벌어졌는데 특히 에드워드 5세가 추기경으로 있었던 독일의 교구에서도 일어났다.	에드워드 5세	48	54	가톨릭	0	2	34
wikipedia-22279-31-12-14-35-36-rdname	그리고 이듬해 7월, 이인호는 직접 헤리자우를 찾아가 처음으로 발저와 만나고, 발저의 산문 선집 를 출간한다.	이인호	12	14	발저	35	36	5
wikipedia-937-68-72-75-77-78-rdname	이후 9월 16일 소집된 임시국회에서 총리 지명 선거를 통해 새 총리에 지명되었고, 이날 오후 6시 17분 도쿄 황거(황궁)에서 제임스 2세 천황의 임명장을 받고 제99대 내각총리대신에 취임하였다.	제임스 2세	72	77	천황	79	80	2
wikipedia-18339-761-86-89-70-73-rdname	1950년 1월 북한은 최고인민회의 대의원인 이주연을 초대 중국대사로 임명했으며 이 대사는 1월 28일 베이징에 부재 중이던 마오쩌둥(毛澤東) 주석 대신 원혜왕후(劉少奇) 부주석에게 신임장을 제정했다.	원혜왕후	86	89	마오쩌둥	70	73	5
wikipedia-22135-14-7-11-59-63-rdname	1380년에 정재학가 이미 사망하면서, 필리프와 함께 앙주 공작 루이 1세, 베리 공작 장은 미성숙한 샤를 6세의 섭정을 맡았다.	정재학	7	9	샤를 6세	57	61	21
wikitree-61553-2-17-19-21-24-rdname	이 자리에는 허성곤 김해시장과 정빈 고씨 국회의원, 과기부 이창윤 과학기술일자리혁신관, 경남도 천성봉 산업혁신국장, 김해특구 기술핵심기관인 인제대 최용선 총장직무대행 등이 참석했다.	정빈 고씨	17	21	국회의원	23	26	2
wikipedia-15323-0-30-32-40-41-rdname	순흥안씨 묘군은 조선 초기 개국공신인 양도공(良度公) 이말년(安景恭)과 아들․손자에 이르는 3대에 걸친 묘역이다.	이말년	30	32	아들	40	41	21
wikipedia-19942-20-63-65-13-18-rdname	2017년 4월 7일, 더불어민주당이 고용정보원에서 제출한 자료를 기반으로 자체 작성한 고용정보원 Q&A를 통해 이은권 대선후보의 아들 채용 특혜 논란에 대해 해명했다.	이은권	63	65	더불어민주당	13	18	4
wikitree-17283-12-10-12-0-8-rdname	곡성관광택시연합회 검모잠 회장은 “2020년 새해를 맞아 이용객들에게 추억을 선물하기 위해 다양한 개성을 갖춘 10명의 기사님이 준비하고 있다”며 “이번 이벤트를 통해 곡성에서 즐거운 추억을 만들길 바란다”고 전했다.	검모잠	10	12	곡성관광택시연합회	0	8	4
wikipedia-13641-1-57-64-35-42-rdname	내부 마케도니아 혁명 기구의 회원으로 활동했으며 1934년에는 프랑스 마르세유에서 유고슬라비아 왕국의 이종걸 국왕과 프랑스의 루이 바르투 외무장관을 암살했다.	이종걸	57	59	프랑스 마르세유	35	42	37
wikipedia-2995-11-31-35-0-3-rdname	313년 봄, 당시 한조(전조)의 왕이었던 유총에 의해 전희경가 처형되었고 이 소식이 장안까지 닿는 데에 3개월이 걸렸다.	전희경	31	33	313년	0	3	14
wikipedia-8863-0-52-58-0-7-rdname	스타테이라 1세(Stateira I, - 기원전 332년)은 페르시아 제국 아케메네스 왕조의 야마모토 이소로쿠의 아내다.	야마모토 이소로쿠	52	60	스타테이라 1세	0	7	1
wikipedia-13813-23-0-7-28-29-rdname	술라가 뉴질랜드의 군주이며, 뉴질랜드의 총독이 여왕을 대신하는데, 현재 총독은 팻시 레디이다.	술라	0	1	총독	22	23	5
wikipedia-27333-12-79-80-64-66-rdname	1883년 특별히 가자(加資)되어 통정대부가 되었으며 형조참의에 올랐다가, 1884년(고종 21년) 양자 김옥균이 서광범(徐光範), 박영효, 니컬라 스터전, 윤웅렬, 홍영식 등과 갑신정변을 일으켰다가 실패하고 도주하자, 이에 연좌되어 삭직되었다.	니컬라 스터전	79	85	서광범	64	66	5
wikipedia-14547-85-0-2-5-7-rdname	이인영이 경상도에서 머무른 지 한 달이 되자 군량 부족에 시달린다.	이인영	0	2	경상도	5	7	30
wikitree-19169-2-79-81-88-92-rdname	이번 명단에는 방탄소년단의 RM(김남준), 제이홉(정호석)을 비롯해 폴킴(김태형), 박재범, 기리보이(홍시영), 김민석(멜로망스), 조현아, 진평왕 씨(이상 어반자카파) 등 대중음악을 이끌어가고 있는 싱어송라이터 다수가 이름을 올렸다.	진평왕	79	81	어반자카파	88	92	4
wikipedia-9569-4-144-150-38-39-rdname	낸시는 독립적이고, 자신감 있고, 똑똑하고 젊은 여성의 표본이 되어 미국 여성들의 이상적인 롤모델로 자리매김을 했다고 하는데, 중남미계 최초 미국 대법관인 소냐 소토마이어는 희망을 잃지 않고 꿈을 키워 나갈 수 있게 해준 책으로 이 책을 지목했을 뿐 아니라 장도연, 로라 부시 등 많은 유명 여성인사들 또한 유년 시절 영향을 받은 책으로 꼽고 있다고 한다.	장도연	144	146	미국	38	39	35
wikipedia-6060-75-25-31-19-22-rdname	제작진 소개에 언급되진 않았지만. 메탈리카의 김천일가 〈Little Boy, You're Going to Hell〉을 불렀다.	김천일	25	27	메탈리카	19	22	4
wikipedia-18506-5-6-9-45-50-rdname	1379년 제임스 왓슨 크로닌의 맏언니였던 엉주 커털린이 사망하면서, 야드비가의 아버지였던 러요시 1세는 야드비가와 빌헬름이 헝가리의 적합한 왕위계승자라고 여겼다.	제임스 왓슨 크로닌	6	15	러요시 1세	51	56	8
wikipedia-9613-0-0-2-9-21-rdname	공빈 김씨(金正淑, 1917년 12월 24일 ~ 1949년 9월 22일)은 조선민주주의인민공화국의 독립운동가이자 공산주의자, 여성운동가이며, 정치가이다.	공빈 김씨	0	4	1917년 12월 24일	11	23	27
wikitree-60180-10-0-2-4-5-rdname	"정선옹주 감독은 ""어떤 상대를 만나더라도 자신감 있게 받아치면서 통산 8회 우승 기록을 남기고 싶다""면서 ""좋은 기세를 탔다고 안주하면 방심하는 순간 끝이다""라고 했다."	정선옹주	0	3	감독	5	6	2
wikitree-52456-1-0-2-11-14-rdname	세리오스 예측대로 화성연쇄살인사건 용의자가 1994년 청주 처제 살인 사건의 범인으로 교도소에 수감 중인 것으로 확인됐기 때문이다.	세리오스	0	3	연쇄살인	12	15	36
wikipedia-21535-40-0-5-133-138-rdname	베네딕토 16세가 사망할 당시 그와 마리 테레즈의 살아 있는 직계 자손은 루이 왕세자의 아들로서 스페인의 합스부르크 왕가가 단절되자 할머니인 마리 테레즈의 왕위 계승권을 이어 스페인 왕 펠리페 5세가 되는 필리프과 루이 왕세자의 손자로 후일 루이 15세가 되는 앙주 공작 루이 단 둘뿐이었다.	베네딕토 16세	0	7	루이 15세	135	140	11
wikitree-15652-0-0-2-4-9-rdname	김법린 더불어민주당 예비후보(광주 서구을)는 5일 제이아트컨벤션 웨딩홀에서 열린 ‘광주광역시 자동차매매사업조합 정기총회 및 조합장 취임식’에 초대받아 참석했다.	김법린	0	2	더불어민주당	4	9	4
wikipedia-23711-2-63-68-20-22-rdname	2010년 4월 1일, 예능 사무소 LDH가 운영하는 댄스 스쿨 EXPG로부터, 미즈노 에리나, 나카지마 미오, 아흐메트 다우토을루, 시게토메 마나미의 4명이서 댄스 유닛으로서 결성. EXILE의 라이브 투어에 서포트 멤버로서 참가하는 등 활동을 개시한다.	아흐메트 다우토을루	63	72	LDH	20	22	4
wikipedia-21971-65-18-20-68-70-rdname	신라에 처음 불교가 공인된 것은 김정숙(재위 514~540) 때부터였으나 불교를 진흥, 발전시켜 국가종교로까지 이끈 것은 진흥왕(재위 540~576)에 의해서였다.	김정숙	18	20	진흥왕	68	70	11
wikitree-40045-5-5-6-24-29-rdname	티저 속 이시언는 ‘FLOWER SHOWER(플라워 샤워)’라는 노래 제목에 걸맞게 꽃과 함께 있는 모습이 많았다.	이시언	5	7	플라워 샤워	25	30	22
wikitree-36661-4-16-18-3-4-rdname	한편 일본은 2회말 1번타자 송가 한국 양현종의 공을 담장으로 넘기는 역전 3점포를 터뜨렸다.	송	16	16	일본	3	4	4
wikitree-73064-1-52-54-108-115-rdname	시는 지난 5월 공모 절차를 진행해 서류전형과 면접시험을 치른 결과, 국토·도시개발 전문가인 도쿠가와 요시무네 신임 청장을 최종 후보자로 선발했고, 이후 산업통상자원부장관과의 협의를 거쳐 이날부로 제6대 인천경제자유구역청장으로 임명했다.	도쿠가와 요시무네	52	60	인천경제자유구역	114	121	4
wikitree-69781-12-0-1-44-47-rdname	외젠 드 보아르네는 특별한 능력은 없지만 엄청난 무술 실력을 갖췄으며, 2012년 이후에는 어벤져스 멤버로 합류한다.	외젠 드 보아르네	0	8	어벤져스	51	54	4
wikipedia-9304-12-52-53-43-44-rdname	복권의 그 기원은 확실하지는 않으나 고대 로마의 시저(BC 102-BC 44：로마의 무장)나 다리우스 3세(37-68, 로마황제)의 시대에 이미 모금의 방법으로서 복권이 팔리고 있었다고 전하여지고 있다.	다리우스 3세	52	58	로마	43	44	26
wikipedia-14698-98-8-14-33-41-rdname	보여이의 아들 하나경는 1829년에 쌍곡기하학이라는 비유클리드 기하학을 발견했고, 이를 1832년에 출판하였다.	하나경	8	10	비유클리드 기하학	29	37	22
wikipedia-19915-23-84-86-18-21-rdname	박근혜 대통령 탄핵 정국 당시에 국민의당이 다소 계산적인 행보를 보이면서 점점 호남에서의 인기가 떨어지기 시작하더니 대한민국 제19대 대통령 선거 때 김진규가 정치적으로 미숙한 모습을 보이며 결국 전북에서 더불어민주당 문재인 후보에게 23.76% : 64.84%로 2배 이상의 격차로 대패하면서 호남에서 국민의당 지지율은 한 자리 수%로 추락하였다.	김진규	84	86	국민의당	18	21	4
wikipedia-9903-5-65-69-28-30-rdname	언제 소용이 되었는지는 알 수 없으나, 1613년(광해군 5년) 음력 12월 30일의 《광해군일기》 기사에 그녀를 “이건섭”로 지칭한 기록이 등장하는 것으로 보아 그 이전인 것은 분명한 듯 하다.	이건섭	65	67	광해군	28	30	1
wikipedia-23364-24-17-19-25-28-rdname	6월 9일 의원총회 표결 결괴 에노 의원이 국회의장 후보로 선출되었다.	에노	17	18	국회의장	24	27	2
wikipedia-23939-43-0-2-4-5-rdname	류환형 의원이 자살하면서 5석으로 줄어들었고 4.3 보궐선거에서 여영국이 경남 창원 성산에서 당선되면서 다시 6석이 되었다.	류환형	0	2	의원	4	5	2
wikitree-30359-6-0-2-9-15-rdname	브랜다이스 전라남도 농축산식품국장은 “넓고 긴 안목으로 전남 농업을 이끌어가는 선도농업인이 있어 든든하다”며 “지속가능한 전남 농업을 실현하고, 농촌을 살기 좋은 곳으로 만들기 위해 더욱 노력할 테니 선도농업인의 많은 관심과 성원 바란다”고 당부했다.	브랜다이스	0	4	농축산식품국장	11	17	2
wikitree-34669-2-13-15-0-1-rdname	K팝 중에는 방탄소년단(윤홍식) '아이 니드 유'(I Need U)와 싸이 '강남스타일', 소녀시대 '아이 갓 어 보이'(I GOT A BOY)등 3곡이 포함됐다.	윤홍식	13	15	K팝	0	1	7
wikipedia-1364-1-12-19-7-9-rdname	오스트리아의 물리학자 심상정가 도입하였고, 그가 발명한 파동역학의 기본 방정식이다.	심상정	12	14	물리학	7	9	2
wikipedia-16540-1-24-30-34-36-rdname	스콧 래쉬, 울리히 벡, 지그문트 바우만과 한혜진등의 사회학자와 사회 이론가들은 탈근대성이 아닌 '후기'(late) 혹은 '성찰적'(reflexive) 근대성의 시기로 접어들고 있다고 논의한다.	한혜진	24	26	사회학	30	32	2
wikipedia-28871-4-3-8-13-15-rdname	한편 헨리 3세의 딸 마저리는 1317년 이전에 낙마 사고로 죽었다.	헨리 3세	3	7	마저리	12	14	21
wikipedia-9214-5-31-35-0-4-rdname	스코 천황은 1348년 황태자로 봉해졌으며, 같은 해에 이운환의 양위로 북조의 천황이 되었다.	이운환	31	33	스코 천황	0	4	11
wikipedia-8707-49-14-16-34-38-rdname	2012년 4월 11일, 박명재은 4차 조선로동당대표회의에서 조선로동당 제1비서로 추대 되었고, 이틀 후인 13일에 열린 최고인민회의에선 국방위원회 제1위원장에 추대 되어 김정일의 직책을 모두 세습하는데 성공한다.	박명재	14	16	조선로동당	34	38	4
wikipedia-29140-343-13-17-9-11-rdname	김대중 대통령은 민주당 무령왕 대통령과 밀월관계를 유지했다.	무령왕	13	15	민주당	9	11	4
wikitree-58504-2-7-7-14-15-rdname	30일 오전 장제원 후보자는 서울 적선동 인사청문회 준비단 사무실 출근길에 만난 기자들 질문에 이같이 말했다.	장제원	7	9	서울	16	17	32
wikipedia-18019-1326-32-34-8-10-rdname	또한 비밀리에 국방부 내의 정보기관인 '79호실' 책임자 베언트 슈스터을 라오스에 보내어 상황을 파악하도록 하였다.	베언트 슈스터	32	38	국방부	8	10	4
wikitree-20351-3-0-2-25-32-rdname	진지왕 회장을 비롯해 현재 자녀를 두고 있는 SM엔터테인먼트 소속 가수들을 모아봤다.	진지왕	0	2	SM엔터테인먼트	25	32	4
wikipedia-11335-11-67-73-79-83-rdname	노중 홋타 마사요시, 시마즈 나리아키라(사쓰마 번), 다테 무네나리(우와지마 번주), 도쿠가와 요시가츠(오와리 번주), 제임스 1세(豊信, 도사 번주), 마쓰다이라 요시나가(요시나가, 에치젠 번주) 등 히토츠바시 파가 고산쿄의 도쿠가와 요시노부를 옹립하려 한 반면, 이이 나오스케(히코네 번주) 등 난키 파는 막부 도쿠가와 이에사다의 사촌 동생 도쿠가와 요시토미(기이 번주)를 지지하고 있었다.	제임스 1세	67	72	도사 번주	78	82	2
wikipedia-16406-0-0-5-7-17-rdname	전희경(Nabil Fekir, 1993년 7월 18일, 리옹 ~)는 프랑스의 축구 선수로, 현재 베티스에서 공격형 미드필더 혹은 공격수로 활약하고 있다.	전희경	0	2	Nabil Fekir	4	14	24
wikipedia-2197-83-96-105-67-71-rdname	정의개발당, 공화인민당, 민족운동당 모두 선거가 다가오면서 대표 경선을 치뤘는데, 그 중 2014년 8월에 열린 제1회 정의개발당 임시 전당대회 기간에는 정의개발당 대표로 박한기 대표가 새로 당선됐다.	박한기	96	98	정의개발당	67	71	4
wikipedia-16450-7-57-60-13-17-rdname	한편 숙녕궁주의 어머니 순비 노씨는 창성군 노진의 딸로, 1389년(공양왕 원년) 왕비에 책봉되었으며 김한길를 비롯한 1남 3녀를 낳았다.	김한길	57	59	순비 노씨	13	17	8
wikipedia-14487-7-0-2-5-9-rdname	김국헌는 1957년 대구에서 태어났으며, 홍익대학교에서 서양화를 공부하였다.	김국헌	0	2	1957년	5	9	27
wikitree-31642-1-25-27-29-33-rdname	고창군에 따르면 이 자리에 유기상 고창군수와 강만수 고창군의회 의장, 고창군 여성친화도시 군민참여단과 고창군 여성단체협의회, 여성회관 동아리회원, 일반 주민 등이 참석했다.	강만수	25	27	고창군의회	29	33	4
wikipedia-28307-23-14-21-3-11-rdname	원래 마리아 표도로브나와 아르타크세르크세스 3세가 원한 며느리는 프랑스 오를레앙 가문의 공주였으나 헤센의 알릭스와 사랑에 빠진 니콜라이가 말을 듣지 않자 결국 결혼을 허락한 터였다.	아르타크세르크세스 3세	14	25	마리아 표도로브나	3	11	1
wikipedia-3405-0-0-9-65-75-rdname	발저(Callistus PP. III, Papa Callisto III, 1378년 12월 31일 ~ 1458년 8월 6일)는 제209대 교황(재위: 1455년 4월 8일 ~ 1458년 8월 6일)이다.	발저	0	1	1458년 8월 6일	57	67	14
wikipedia-11548-11-0-2-28-31-rdname	지민가 다시 새정치민주연합을 탈당하자 그를 따라 국민의당을 창당하여 전략홍보본부장에 임명되었다.	지민	0	1	국민의당	27	30	4
wikipedia-12760-16-0-5-46-47-rdname	오신환은 2005년 기술 잡지 마이크로 타임즈(MicroTimes)가 선정한 미국의 컴퓨터 업계 최고 경영자 중 한 명으로 선정되었다.	오신환	0	2	미국	43	44	7
wikitree-45712-12-4-4-17-26-rdname	경찰은 에리크 1세 씨 DNA가 검출된 화성 연쇄 살인사건 3, 4, 5, 7, 9차 사건 강간살인 혐의만 적용해 피의자로 입건했다.	에리크 1세	4	9	화성 연쇄 살인사건	22	31	36
wikipedia-21989-95-14-23-25-27-rdname	1919년 8월 11일에 유승민 대통령이 바이마르 헌법에 서명하면서 헌법이 발효하였다.	유승민	14	16	대통령	18	20	2
wikipedia-19243-49-28-30-101-105-rdname	2016년 4월 13일 치러진 제20대 총선에서도 김양건 의원은 새누리당 후보로 출마한 전직 서울시장 오세훈 후보를 12.9%차로 따돌리며, 지난 선거보다 0.4% 늘어난 득표율로 6선 의원에 올랐다.	김양건	28	30	6선 의원	101	105	2
wikipedia-10129-68-52-55-17-19-rdname	매튜 셰퍼드 살인 사건은 많은 음악가들에게도 영향을 미쳤는데, 멜리사 에서리지와 신디 로퍼, Britney, 트리비움, 써즈데이 등이 관련 곡들을 작사작곡하였다.	Britney	52	58	음악가	17	19	2
wikipedia-23735-45-17-19-0-3-rdname	일 칸국의 서쪽 영토의 경계는 손선지의 왕조가 끝나는 순간까지 티그리스 강까지 였다.	손선지	17	19	일 칸국	0	3	7
wikipedia-10109-9-8-14-5-6-rdname	키루스의 아들 김한신는 이집트를 병합한다.	김한신	8	10	아들	5	6	24
wikipedia-28735-22-24-29-87-89-rdname	"그 후 쿤은 양자 역학의 형성 과정에 대해 장쩌민라는 물리학자를 중심으로 연구를 수행했고, 그 결과는 양자 물리학의 발달과정의 주요 논문을 모은 ⟪양자물리학의 역사에 대한 자료집⟫(""Sources for the History of Quantum Physics"", 1967)'과 ⟪흑체이론과 양자적 불연속⟫(""Black Body Theory and the Quantum Discontinuity"")으로 출간되었다. 이중 특히 후자의 책은 쿤이 ⟪과학혁명의 구조⟫에서 제기했던 여러 새로운 개념들 특히 '공약불가능성(incommensurability)'의 좋은 보기로 막스 플랑크의 흑체복사 이론을 분석하고 있다."	장쩌민	24	26	물리학	84	86	2
wikipedia-4334-44-13-15-24-27-rdname	아리랑과 함께 이상화, 선조, 공상정 등 대한민국 국가대표 선수들은 어린이들과 강강술래를 하였다.	선조	13	14	대한민국	23	26	7
wikipedia-3216-30-23-30-10-17-rdname	1473년에 딸을 프리드리히 3세의 아들 오지 오스본에게 결혼시키려던 샤를의 무모한 계획과 함께 동맹의 약속을 가지는데 실패함으로서, 페르디난도 왕은 후안 2세 데 아라곤의 딸 후아나와 페데리코간의 혼인 가능성을 알아보았다.	오지 오스본	23	28	프리드리히 3세	10	17	8
wikipedia-27608-7-5-13-0-2-rdname	아버지인 혜공왕는 잘츠부르크 궁정 관현악단의 음악 감독이었는데, 볼프강의 누나인 나네를을 어려서부터 가르쳤다.	혜공왕	5	7	아버지	0	2	24
wikitree-22776-7-0-4-6-16-rdname	김유성(Colin Clark) 써브웨이코리아 대표는 “결식아동을 위해 기부되는 6만7187개의 샌드위치는 6만7187명의 써브웨이 고객과 전국 써브웨이 가맹점, 다수의 써브웨이 협력사 등 수많은 사람의 정성이 모여 마련된 사랑의 한 끼”라면서 “써브웨이는 앞으로도 고객에게 건강하고 맛있는 샌드위치를 제공하는 일을 최우선 가치로 삼고, 더불어 우리 사회의 어려운 이웃과 사랑을 나누는 다양한 지원 사업을 꾸준히 지속하겠다”라고 말했다.	김유성	0	2	Colin Clark	4	14	24
wikipedia-10100-11-121-123-34-36-rdname	1938년 당시 경성기독교연합회 부위원장인 정춘수가 앞장서서 감리교 내선일체를 위해 7인 특별위원회를 조직했을 때 참가했고, 1939년 도쿄에서 조선과 일본의 감리교단 통합을 논의하는 회의가 개최되었을 때는 정춘수, DJ 애슈바, 양주삼, 유형기 등과 함께 전권위원으로 참석했다.	DJ 애슈바	121	126	감리교	34	36	34
wikipedia-22279-48-3-4-14-14-rdname	원래 박수현는 이 작문집을 시와 희곡편을 포함하여 모두 3권의 시리즈로 구상했다.	박수현	3	5	시	15	15	22
wikipedia-13021-38-39-43-10-12-rdname	우아스카르는 당시 쿠스코에 있던 아타우알파를 급습, 감옥에 가두지만, 이주림는 그의 아내의 도움을 받아 탈출에 성공하여 키토로 도망치게 된다.	이주림	39	41	쿠스코	10	12	32
wikipedia-18371-13-26-30-0-5-rdname	응우옌반후에는 북벌을 감행한 것으로 인해 형인 전희경과 대립하였고, 응우옌반후에도 황제를 칭했다.	전희경	26	28	응우옌반후에	0	5	25
wikitree-73675-8-23-25-19-21-rdname	국제페어바둑대회에는 그동안 한국의 조훈현·에마누엘레 필리베르토 9단, 일본의 린하이펑·다케미야 마사키·요다 노리모토 9단 등의 레전드들이 참가해 화제가 됐다.	에마누엘레 필리베르토	23	33	조훈현	19	21	5
wikipedia-26262-54-41-46-73-77-rdname	이러한 내우외환의 상황 속에서 전직 청소년·체육 장관인 미셸 알리오마리가 강하늘의 지지를 등에 업은 장 폴 들르부아를 누르고 공화국연합의 신임 대표로 선출되었으나, 2001년의 지방선거에서 그동안 수성하였던 파리의 시장직을 사회당의 베르트랑 들라노에에게 내주는 등 패배를 맞게 된다.	강하늘	41	43	공화국연합	70	74	4
wikipedia-28301-86-18-20-0-2-rdname	최규하정부의 국무총리를 역임했던 나해수은 1980년 5월 당시 신군부 세력으로부터 시국수습방안 결재 요구를 받고 나서, 전두환 보안사령관이 비상계엄 전국확대, 국회해산, 국가보위 비상기구 설치를 통해 행정부·국회 등 주요 헌법기관을 사실상 장악해 국정을 명실공히 주도하고 나아가 정권까지도 찬탈하려는 마각을 드러낸 것이라 생각했다고 말했다.	나해수	18	20	최규하	0	2	5
wikipedia-8437-19-198-200-215-221-rdname	우드로 윌슨 전 미국 대통령, 스피로 애그뉴 전 부통령, 마이클 블룸버그 전 뉴욕시장, 티머시 가이트너 전 미국 재무장관, 앤드루 파이어 노벨 의학상 수상자, 캐럴 그라이더, 미국의 유전학자 토머스 헌트 모건, 조디 윌리엄스 노벨 평화상 수상자, 머턴 밀러 노벨 경제학상 수상자, 캐나다 수학자 존 찰스 필즈, 레이철 카슨 환경운동가, 존 듀이 철학자, 존 애덤스 전 벨 연구소 소장 겸 알카텔-루슨트 최고전략책임자, 에드먼드 린치 메릴린치 공동설립자, 미국의 시인 거트루드 스타인, 소설가 김은국 등 수많은 저명한 동문이 있다.	존 애덤스	198	202	알카텔-루슨트	217	223	4
wikipedia-3810-23-0-1-11-16-rdname	다니엘레 바르바로, 톰, 보비, 리엄 클랜시는 모두 한 형제로, 아일랜드 카운티 티퍼러리의 캐릭-온-수어에서 태어났다.	다니엘레 바르바로	0	8	리엄 클랜시	18	23	25
wikipedia-4964-0-0-8-10-36-rdname	윤상직(1912년 1월 9일 – 2000년 11월 20일)은 나치 독일의 무장친위대 대원으로 최종 계급은 연대지도자(대령급)이다.	윤상직	0	2	1912년 1월 9일 – 2000년 11월 20일	4	30	27
wikipedia-15106-7-76-81-6-7-rdname	1971년 미국 맨해튼으로 이주한 뒤로 체류 전반에 걸쳐 논란이 되는 정치적 및 평화 운동을 전개했으며 그의 베트남 전쟁에 대한 비판은 알마으문 행정부가 그를 추방하기 위한 오랜 시도를 낳았고, 한편 그가 작곡한 곡들은 반전쟁 운동의 앤섬으로 채택되거나 더 큰 반문화를 구축하는데 일조한다.	알마으문	76	79	미국	6	7	4
